Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Отдельный дом ,30 000 000 〒,"Турксибский р-н, Хетагурова 37в — Тихова",Турксибский,3,62,Floor: 1;  Construction year: 1978
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Мадениет 24",Алатауский,3,120,Floor: 1;  Construction year: 2023
Отдельный дом ,150 000 000 〒,"Алмалинский р-н, ТургутОзала 219 — Абая",Алмалинский,28,320,
Отдельный дом ,82 000 000 〒,"Бостандыкский р-н, мкр Актобе, Мкр Актобе СТ Горный Гигант 21 — Каменское плато",Бостандыкский,3,165,Floor: 2;  Construction year: 2021
Отдельный дом ,1 150 000 000 〒,"Медеуский р-н, Керей Жанибек хандар 223а",Медеуский,10,1055,Construction year: 2013
Отдельный дом ,69 700 000 〒,"Медеуский р-н, Родники-2",Медеуский,8,550,Floor: 2;  Construction year: 2014
Отдельный дом ,121 000 000 〒,"Наурызбайский р-н, мкр Акжар, Берел",Наурызбайский,5,210,Floor: 2;  Construction year: 2015
Отдельный дом ,500 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",Бостандыкский,6,450,Floor: 2;  Construction year: 2024
Дача ,43 000 000 〒,"Наурызбайский р-н, Узакбай Караманов 9/1",Наурызбайский,5,252,Floor: 2;  Construction year: 2024
Отдельный дом ,100 000 000 〒,"Наурызбайский р-н, мкр Акжар, Гулбаршын 14",Наурызбайский,5,206,Construction year: 2005
Отдельный дом ,87 000 000 〒,"Турксибский р-н, Тбилисская 78",Турксибский,5,174,Floor: 3;  Construction year: 2011
Отдельный дом ,35 000 000 〒,"Медеуский р-н, мкр Каменское плато 24 — Выше обсерватория 5 автобус конечный выше",Медеуский,5,134,Floor: 2;  Construction year: 2015
Отдельный дом ,95 000 000 〒,"Медеуский р-н, мкр Каменское плато, Садоводчество связист 2",Медеуский,8,337,Floor: 3;  Construction year: 2008
Отдельный дом ,120 000 000 〒,"Алатауский р-н, мкр Акбулак",Алатауский,6,205,Floor: 2;  Construction year: 2014
Отдельный дом ,235 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик) 43 — Осиет",Бостандыкский,4,280,Floor: 1;  Construction year: 2024
Часть дома ,45 000 000 〒,"Медеуский р-н, Тянь-Шаньская 9б",Медеуский,3,68,Floor: 1;  Construction year: 1950
Отдельный дом ,85 000 000 〒,"Алатауский р-н, мкр Карасу, Бурундайская 2а1",Алатауский,3,200,Construction year: 2016
Отдельный дом ,58 000 000 〒,"Медеуский р-н, мкр Каменское плато, Байконурская — Олимпийская",Медеуский,5,100,Floor: 1;  Construction year: 1992
Отдельный дом ,100 000 000 〒,"Алатауский р-н, мкр Шанырак-1 59 — Орбулак",Алатауский,9,146,Floor: 2;  Construction year: 2007
Отдельный дом ,48 000 000 〒,"Турксибский р-н, Песчаная 29 — Майлина",Турксибский,5,157.4,Floor: 2;  Construction year: 1999
Отдельный дом ,40 000 000 〒,"Алатауский р-н, мкр Шанырак-1 37 — улица Косагаш37",Алатауский,3,70,Floor: 1;  Construction year: 2010
Отдельный дом ,285 000 000 〒,"Наурызбайский р-н, мкр Рахат 36 — Аскарова выше Аль-Фараби",Наурызбайский,7,467,Floor: 2;  Construction year: 2024
Отдельный дом ,57 000 000 〒,"Жетысуский р-н, мкр Кемел (Первомайское), Жидебай 27 — Жалымбет",Жетысуский,5,92.4,Floor: 1;  Construction year: 1974
Отдельный дом ,450 000 000 〒,"Бостандыкский р-н, мкр Баганашыл, ул. Алмалы 39 — Чуть выше жк Sun town",Бостандыкский,7,315,Floor: 3;  Construction year: 2015
Отдельный дом ,60 000 000 〒,"Наурызбайский р-н, мкр Акжар, Мкр Акжар,Койлык 11 — Койлык Бекешева",Наурызбайский,6,250,Floor: 2;  Construction year: 2006
Отдельный дом ,170 000 000 〒,"Алатауский р-н, мкр Мадениет 1859/67",Алатауский,8,330,Floor: 2;  Construction year: 2021
Отдельный дом ,38 000 000 〒,"Турксибский р-н, Бекмаханова 6А — Спасская улица",Турксибский,4,58,Floor: 1
Отдельный дом ,53 000 000 〒,"Алатауский р-н, Стрелецкая 36",Алатауский,3,100,Floor: 1;  Construction year: 1971
Отдельный дом ,184 000 000 〒,"Медеуский р-н, мкр Алатау (ИЯФ) 107 — Каипова-Шыгыс",Медеуский,5,310,Floor: 2;  Construction year: 2024
Дача ,35 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, Мкр Тастыбулак, Обувщика 15 — Жандосова",Наурызбайский,3,113.5,Construction year: 1990
Отдельный дом ,56 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Смайылова 31",Наурызбайский,3,82,Floor: 1;  Construction year: 1998
Отдельный дом ,199 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик) 176",Бостандыкский,8,342,Floor: 3;  Construction year: 2023
Отдельный дом ,170 000 000 〒,"Ауэзовский р-н, Толоконникова 3а — Жандосова",Ауэзовский,6,147.6,Floor: 2;  Construction year: 2004
Отдельный дом ,575 000 000 〒,"Медеуский р-н, мкр Горный Гигант — улица 6",Медеуский,6,670,Floor: 3;  Construction year: 2025
Отдельный дом ,335 000 000 〒,"Бостандыкский р-н, Кристал эйр",Бостандыкский,7,400,Floor: 3;  Construction year: 2007
Отдельный дом ,99 000 000 〒,"Турксибский р-н, Земнухова 156 — Балакирева",Турксибский,5,200,Floor: 2;  Construction year: 2023
Отдельный дом ,100 000 000 〒,"Наурызбайский р-н, мкр Карагайлы",Наурызбайский,6,212,Floor: 3;  Construction year: 2025
Отдельный дом ,350 000 000 〒,"Алатауский р-н, мкр Заря Востока, Ул.Биянху 63 — Уг.ул Гвардейской напротив рынка Ялян",Алатауский,7,210,Floor: 1;  Construction year: 1965
Отдельный дом ,9 500 000 〒,"Жетысуский р-н, мкр Айнабулак-2, Палладина 197",Жетысуский,1,27.4,Construction year: 2006
Отдельный дом ,90 500 000 〒,"Жетысуский р-н, Волочаевская",Жетысуский,5,230,Floor: 2;  Construction year: 2010
Отдельный дом ,79 000 000 〒,"Наурызбайский р-н, мкр Акжар 8 — Жибекбаева",Наурызбайский,4,101,Floor: 1;  Construction year: 1990
Отдельный дом ,145 000 000 〒,"Алатауский р-н, мкр Теректы, Шарайна 46 — Шарайна",Алатауский,5,250,Floor: 2;  Construction year: 2024
Отдельный дом ,50 000 000 〒,"Медеуский р-н, мкр Кенсай, Сарсенбаева 73 — Сарсенбаева",Медеуский,4,65,Floor: 1
Отдельный дом ,525 000 000 〒,"Медеуский р-н, Таттимбетова 310 — Терренкур",Медеуский,8,470,Floor: 3;  Construction year: 2006
Отдельный дом ,40 000 000 〒,Водник 4 53,,4,127.9,Floor: 1;  Construction year: 2017
Отдельный дом ,30 500 000 〒,"Турксибский р-н, Кубеева 196а",Турксибский,4,100,Construction year: 1982
Часть дома ,112 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), 14-я ул. К1 — Рядом со школой Tamos",Бостандыкский,5,238.5,Floor: 3;  Construction year: 2024
Отдельный дом ,185 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 — Нұрпейісова 95",Наурызбайский,12,485,Floor: 2;  Construction year: 2024
Отдельный дом ,120 000 000 〒,"Турксибский р-н, Земнухова 156 — Балакирева",Турксибский,6,224,Floor: 2;  Construction year: 2024
